Product_ID,Product_Name,Product_Type,Current_Stock,Price,Last_Updated
b3a4b6e8-d7f1-4cfa-b2c6-5cfa5cdb9db6,Smartphone X,Electronics,15,799.99,2025-03-17 10:00:00
9d4e7eaf-5d93-4236-82b8-07014a6f5b4e,Laptop Pro,Furniture,50,1199.99,2025-03-17 09:45:00
b3a4b6e8-d7f1-4cfa-b2c6-5cfa5cdb9db6,Smartphone Y,Electronics,5,799.99,2025-03-17 09:30:00
f8e1d3c1-d1b2-485a-8754-e7c32468d80b,Sneakers Air,Clothing,30,129.99,2025-03-17 08:30:00
e120ab1f-9b1c-4f7d-b981-9b3898f0c36a,T-shirt Classic,Clothing,8,19.99,2025-03-17 07:15:00
45c8f051-71e7-4c4b-b03b-90d4d4b167b3,Smartphone X,Electronics,70,799.99,2025-03-17 06:45:00
39b6b460-45be-4e61-bbc7-b4e70c83951a,Desk Chair,Furniture,3,149.99,2025-03-17 06:00:00
bcb2e5b1-7bb1-4e09-bb3b-e47f5b922364,Sneakers Air,Clothing,12,129.99,2025-03-17 05:30:00
1f8325bb-4970-4283-8a70-5b2fd9e73e66,Smartphone Z,Electronics,22,799.99,2025-03-17 05:00:00
9d4e7eaf-5d93-4236-82b8-07014a6f5b4e,Laptop Pro,Furniture,9,1199.99,2025-03-17 04:00:00
